id,run,pop,herb,rate,temp,rep,surv,biomass
183,1,A82,meso+P450,210.2,ambient,3,0,0
184,1,A82,meso+P450,210.2,ambient,4,0,0
185,1,A82,meso+P450,420.4,ambient,1,0,0
186,1,A82,meso+P450,420.4,ambient,2,0,0
187,1,A82,meso+P450,420.4,ambient,3,0,0
188,1,A82,meso+P450,420.4,ambient,4,0,0
189,1,A82,meso+P450,840.8,ambient,1,0,0
190,1,A82,meso+P450,840.8,ambient,2,0,0
191,1,A82,meso+P450,840.8,ambient,3,0,0
192,1,A82,meso+P450,840.8,ambient,4,0,0
193,1,A101,meso,0,ambient,1,1,3.528
194,1,A101,meso,0,ambient,2,1,2.963
195,1,A101,meso,0,ambient,3,1,2.528
196,1,A101,meso,0,ambient,4,1,3.561
197,1,A101,meso,13.1,ambient,1,1,1.648
198,1,A101,meso,13.1,ambient,2,1,1.631
199,1,A101,meso,13.1,ambient,3,1,0.301
200,1,A101,meso,13.1,ambient,4,1,1.333
201,1,A101,meso,26.3,ambient,1,0,0
202,1,A101,meso,26.3,ambient,2,0,0
203,1,A101,meso,26.3,ambient,3,1,0.283
204,1,A101,meso,26.3,ambient,4,1,1.678
205,1,A101,meso,53,ambient,1,0,0
206,1,A101,meso,53,ambient,2,1,0.081
207,1,A101,meso,53,ambient,3,0,0
208,1,A101,meso,53,ambient,4,0,0
209,1,A101,meso,105.1,ambient,1,0,0
210,1,A101,meso,105.1,ambient,2,0,0
211,1,A101,meso,105.1,ambient,3,0,0
212,1,A101,meso,105.1,ambient,4,0,0
213,1,A101,meso,210.2,ambient,1,1,0.328
214,1,A101,meso,210.2,ambient,2,0,0
215,1,A101,meso,210.2,ambient,3,0,0
216,1,A101,meso,210.2,ambient,4,0,0
217,1,A101,meso,420.4,ambient,1,0,0
218,1,A101,meso,420.4,ambient,2,0,0
219,1,A101,meso,420.4,ambient,3,0,0
220,1,A101,meso,420.4,ambient,4,0,0
221,1,A101,meso,840.8,ambient,1,0,0
222,1,A101,meso,840.8,ambient,2,0,0
223,1,A101,meso,840.8,ambient,3,0,0
224,1,A101,meso,840.8,ambient,4,0,0
225,1,A101,meso+P450,0,ambient,1,1,4.625
226,1,A101,meso+P450,0,ambient,2,1,2.794
227,1,A101,meso+P450,0,ambient,3,1,2.565
228,1,A101,meso+P450,0,ambient,4,1,3.133
229,1,A101,meso+P450,13.1,ambient,1,1,0.445
