run,pop,herb,order,Rate,rep,count,biomass,count_red,bio_red
2,KEI3,Metribuzin,3,1x,4,0,0,1,1
2,KEI3,Metribuzin,3,3x,1,0,0,1,1
2,KEI3,Metribuzin,3,3x,2,0,0,1,1
2,KEI3,Metribuzin,3,3x,3,0,0,1,1
2,KEI3,Metribuzin,3,3x,4,0,0,1,1
2,KEI3,Sulfentrazone,5,0.5x,1,0,0,1,1
2,KEI3,Sulfentrazone,5,0.5x,2,0,0,1,1
2,KEI3,Sulfentrazone,5,0.5x,3,0,0,1,1
2,KEI3,Sulfentrazone,5,0.5x,4,0,0,1,1
2,KEI3,Sulfentrazone,5,1x,1,0,0,1,1
2,KEI3,Sulfentrazone,5,1x,2,0,0,1,1
2,KEI3,Sulfentrazone,5,1x,3,0,0,1,1
2,KEI3,Sulfentrazone,5,1x,4,0,0,1,1
2,KEI3,Sulfentrazone,5,3x,1,0,0,1,1
2,KEI3,Sulfentrazone,5,3x,2,0,0,1,1
2,KEI3,Sulfentrazone,5,3x,3,0,0,1,1
2,KEI3,Sulfentrazone,5,3x,4,0,0,1,1
2,KEI3,S-metolachlor,4,0.5x,1,0,0,1,1
2,KEI3,S-metolachlor,4,0.5x,2,0,0,1,1
2,KEI3,S-metolachlor,4,0.5x,3,0,0,1,1
2,KEI3,S-metolachlor,4,0.5x,4,0,0,1,1
2,KEI3,S-metolachlor,4,1x,1,0,0,1,1
2,KEI3,S-metolachlor,4,1x,2,0,0,1,1
2,KEI3,S-metolachlor,4,1x,3,0,0,1,1
2,KEI3,S-metolachlor,4,1x,4,0,0,1,1
2,KEI3,S-metolachlor,4,3x,1,0,0,1,1
2,KEI3,S-metolachlor,4,3x,2,0,0,1,1
2,KEI3,S-metolachlor,4,3x,3,0,0,1,1
2,KEI3,S-metolachlor,4,3x,4,0,0,1,1
2,KEI3,Mesotrione,2,0.5x,1,0,0,1,1
2,KEI3,Mesotrione,2,0.5x,2,0,0,1,1
2,KEI3,Mesotrione,2,0.5x,3,4,0.364,0.916230367,0.635817909
2,KEI3,Mesotrione,2,0.5x,4,0,0,1,1
2,KEI3,Mesotrione,2,1x,1,0,0,1,1
2,KEI3,Mesotrione,2,1x,2,1,0.0052,0.979057592,0.994797399
2,KEI3,Mesotrione,2,1x,3,0,0,1,1
2,KEI3,Mesotrione,2,1x,4,0,0,1,1
2,KEI3,Mesotrione,2,3x,1,0,0,1,1
2,KEI3,Mesotrione,2,3x,2,0,0,1,1
2,KEI3,Mesotrione,2,3x,3,0,0,1,1
2,KEI3,Mesotrione,2,3x,4,0,0,1,1
2,KEI2,Atrazine,1,0.5x,1,7,0.5996,0.685393258,0.632744311
2,KEI2,Atrazine,1,0.5x,2,55,1.2057,1.00E-10,0.261507365
2,KEI2,Atrazine,1,0.5x,3,47,1.2033,1.00E-10,0.262977368
2,KEI2,Atrazine,1,0.5x,4,64,1.0968,1.00E-10,0.32820874
2,KEI2,Atrazine,1,1x,1,2,0.254,0.91011236,0.844424708
2,KEI2,Atrazine,1,1x,2,13,1.7437,0.415730337,1.00E-10
2,KEI2,Atrazine,1,1x,3,0,0,1,1
2,KEI2,Atrazine,1,1x,4,41,1.5538,1.00E-10,0.048295716
2,KEI2,Atrazine,1,3x,1,0,0,1,1
2,KEI2,Atrazine,1,3x,2,0,0,1,1
2,KEI2,Atrazine,1,3x,3,1,0.159,0.95505618,0.902612317
2,KEI2,Atrazine,1,3x,4,2,0.0988,0.91011236,0.939484887
2,KEI2,Metribuzin,3,0.5x,1,0,0,1,1
2,KEI2,Metribuzin,3,0.5x,2,0,0,1,1
2,KEI2,Metribuzin,3,0.5x,3,1,0.0188,0.95505618,0.988484978
2,KEI2,Metribuzin,3,0.5x,4,0,0,1,1
2,KEI2,Metribuzin,3,1x,1,0,0,1,1
2,KEI2,Metribuzin,3,1x,2,0,0,1,1
2,KEI2,Metribuzin,3,1x,3,0,0,1,1
2,KEI2,Metribuzin,3,1x,4,0,0,1,1
2,KEI2,Metribuzin,3,3x,1,0,0,1,1
2,KEI2,Metribuzin,3,3x,2,0,0,1,1
2,KEI2,Metribuzin,3,3x,3,0,0,1,1
2,KEI2,Metribuzin,3,3x,4,0,0,1,1
2,KEI2,Sulfentrazone,5,0.5x,1,0,0,1,1
2,KEI2,Sulfentrazone,5,0.5x,2,0,0,1,1
2,KEI2,Sulfentrazone,5,0.5x,3,0,0,1,1
2,KEI2,Sulfentrazone,5,0.5x,4,0,0,1,1
2,KEI2,Sulfentrazone,5,1x,1,0,0,1,1
2,KEI2,Sulfentrazone,5,1x,2,0,0,1,1
2,KEI2,Sulfentrazone,5,1x,3,0,0,1,1
2,KEI2,Sulfentrazone,5,1x,4,0,0,1,1
2,KEI2,Sulfentrazone,5,3x,1,0,0,1,1
2,KEI2,Sulfentrazone,5,3x,2,0,0,1,1
2,KEI2,Sulfentrazone,5,3x,3,0,0,1,1
2,KEI2,Sulfentrazone,5,3x,4,0,0,1,1
2,KEI2,S-metolachlor,4,0.5x,1,0,0,1,1
2,KEI2,S-metolachlor,4,0.5x,2,2,0.1084,0.91011236,0.933604876
2,KEI2,S-metolachlor,4,0.5x,3,0,0,1,1
2,KEI2,S-metolachlor,4,0.5x,4,0,0,1,1
2,KEI2,S-metolachlor,4,1x,1,0,0,1,1
2,KEI2,S-metolachlor,4,1x,2,0,0,1,1
2,KEI2,S-metolachlor,4,1x,3,0,0,1,1
2,KEI2,S-metolachlor,4,1x,4,0,0,1,1
2,KEI2,S-metolachlor,4,3x,1,0,0,1,1
2,KEI2,S-metolachlor,4,3x,2,0,0,1,1
2,KEI2,S-metolachlor,4,3x,3,0,0,1,1
2,KEI2,S-metolachlor,4,3x,4,0,0,1,1
2,KEI2,Mesotrione,2,0.5x,1,0,0,1,1
2,KEI2,Mesotrione,2,0.5x,2,3,0.107,0.865168539,0.934462377
2,KEI2,Mesotrione,2,0.5x,3,37,0.5958,1.00E-10,0.635071816
2,KEI2,Mesotrione,2,0.5x,4,0,0,1,1
2,KEI2,Mesotrione,2,1x,1,1,0.001,0.95505618,0.999387499
2,KEI2,Mesotrione,2,1x,2,0,0,1,1
2,KEI2,Mesotrione,2,1x,3,1,0.008,0.95505618,0.995099991
2,KEI2,Mesotrione,2,1x,4,0,0,1,1
2,KEI2,Mesotrione,2,3x,1,0,0,1,1
2,KEI2,Mesotrione,2,3x,2,0,0,1,1
2,KEI2,Mesotrione,2,3x,3,0,0,1,1
2,KEI2,Mesotrione,2,3x,4,0,0,1,1
2,BRO,Atrazine,1,0.5x,1,65,1.8311,1.00E-10,1.00E-10
2,BRO,Atrazine,1,0.5x,2,0,0,1,1
2,BRO,Atrazine,1,0.5x,3,47,2.5237,0.069306931,1.00E-10
2,BRO,Atrazine,1,0.5x,4,45,2.5755,0.108910891,1.00E-10
2,BRO,Atrazine,1,1x,1,0,0,1,1
2,BRO,Atrazine,1,1x,2,3,1.5662,0.940594059,1.00E-10
2,BRO,Atrazine,1,1x,3,1,0.9865,0.98019802,0.252467464
2,BRO,Atrazine,1,1x,4,37,1.1836,0.267326733,0.103112509
2,BRO,Atrazine,1,3x,1,0,0,1,1
2,BRO,Atrazine,1,3x,2,4,0.2835,0.920792079,0.78517438
2,BRO,Atrazine,1,3x,3,34,1.0335,0.326732673,0.216852634
2,BRO,Atrazine,1,3x,4,14,1.1673,0.722772277,0.115464035
2,BRO,Metribuzin,3,0.5x,1,0,0,1,1
2,BRO,Metribuzin,3,0.5x,2,0,0,1,1
2,BRO,Metribuzin,3,0.5x,3,0,0,1,1
2,BRO,Metribuzin,3,0.5x,4,0,0,1,1
2,BRO,Metribuzin,3,1x,1,1,0.0122,0.98019802,0.9907553
2,BRO,Metribuzin,3,1x,2,0,0,1,1
2,BRO,Metribuzin,3,1x,3,0,0,1,1
2,BRO,Metribuzin,3,1x,4,0,0,1,1
2,BRO,Metribuzin,3,3x,1,0,0,1,1
2,BRO,Metribuzin,3,3x,2,0,0,1,1
2,BRO,Metribuzin,3,3x,3,0,0,1,1
2,BRO,Metribuzin,3,3x,4,0,0,1,1
2,BRO,Sulfentrazone,5,0.5x,1,0,0,1,1
2,BRO,Sulfentrazone,5,0.5x,2,0,0,1,1
2,BRO,Sulfentrazone,5,0.5x,3,0,0,1,1
2,BRO,Sulfentrazone,5,0.5x,4,0,0,1,1
2,BRO,Sulfentrazone,5,1x,1,0,0,1,1
2,BRO,Sulfentrazone,5,1x,2,0,0,1,1
2,BRO,Sulfentrazone,5,1x,3,0,0,1,1
2,BRO,Sulfentrazone,5,1x,4,0,0,1,1
2,BRO,Sulfentrazone,5,3x,1,0,0,1,1
2,BRO,Sulfentrazone,5,3x,2,0,0,1,1
2,BRO,Sulfentrazone,5,3x,3,0,0,1,1
2,BRO,Sulfentrazone,5,3x,4,0,0,1,1
2,BRO,S-metolachlor,4,0.5x,1,1,0.4398,0.98019802,0.666736128
2,BRO,S-metolachlor,4,0.5x,2,5,1.108,0.900990099,0.160399341
2,BRO,S-metolachlor,4,0.5x,3,2,0.7542,0.96039604,0.428495652
2,BRO,S-metolachlor,4,0.5x,4,0,0,1,1
2,BRO,S-metolachlor,4,1x,1,0,0,1,1
2,BRO,S-metolachlor,4,1x,2,2,0.2898,0.96039604,0.780400477
2,BRO,S-metolachlor,4,1x,3,0,0,1,1
2,BRO,S-metolachlor,4,1x,4,0,0,1,1
2,BRO,S-metolachlor,4,3x,1,0,0,1,1
2,BRO,S-metolachlor,4,3x,2,0,0,1,1
2,BRO,S-metolachlor,4,3x,3,0,0,1,1
2,BRO,S-metolachlor,4,3x,4,0,0,1,1
2,BRO,Mesotrione,2,0.5x,1,0,0,1,1
2,BRO,Mesotrione,2,0.5x,2,3,0.0459,0.940594059,0.965218709
2,BRO,Mesotrione,2,0.5x,3,0,0,1,1
2,BRO,Mesotrione,2,0.5x,4,0,0,1,1
2,BRO,Mesotrione,2,1x,1,0,0,1,1
2,BRO,Mesotrione,2,1x,2,0,0,1,1
2,BRO,Mesotrione,2,1x,3,0,0,1,1
2,BRO,Mesotrione,2,1x,4,0,0,1,1
2,BRO,Mesotrione,2,3x,1,0,0,1,1
2,BRO,Mesotrione,2,3x,2,0,0,1,1
2,BRO,Mesotrione,2,3x,3,0,0,1,1
2,BRO,Mesotrione,2,3x,4,0,0,1,1
