run,pop,herb,order,rate,rep,count,biomass
2,BRO,s-metolachlor,4,1x,3,0,0
2,BRO,s-metolachlor,4,1x,4,0,0
2,BRO,s-metolachlor,4,3x,1,0,0
2,BRO,s-metolachlor,4,3x,2,0,0
2,BRO,s-metolachlor,4,3x,3,0,0
2,BRO,s-metolachlor,4,3x,4,0,0
2,BRO,mesotrione,2,0.5x,1,0,0
2,BRO,mesotrione,2,0.5x,2,3,0.0459
2,BRO,mesotrione,2,0.5x,3,0,0
2,BRO,mesotrione,2,0.5x,4,0,0
2,BRO,mesotrione,2,1x,1,0,0
2,BRO,mesotrione,2,1x,2,0,0
2,BRO,mesotrione,2,1x,3,0,0
2,BRO,mesotrione,2,1x,4,0,0
2,BRO,mesotrione,2,3x,1,0,0
2,BRO,mesotrione,2,3x,2,0,0
2,BRO,mesotrione,2,3x,3,0,0
2,BRO,mesotrione,2,3x,4,0,0
1,KEI3,control,0,1x,1,6,1.5338
1,KEI3,control,0,1x,2,86,1.8958
1,KEI3,control,0,1x,3,82,2.2622
1,KEI3,control,0,1x,4,15,1.5914
1,KEI2,control,0,1x,1,4,0.7991
1,KEI2,control,0,1x,2,74,1.8536
1,KEI2,control,0,1x,3,86,1.7047
1,KEI2,control,0,1x,4,0,0
1,BRO,control,0,1x,1,42,1.7802
1,BRO,control,0,1x,2,12,1.1456
1,BRO,control,0,1x,3,59,2.2017
1,BRO,control,0,1x,4,7,1.3798
2,KEI3,control,0,1x,1,70,1.3157
2,KEI3,control,0,1x,2,65,1.2562
2,KEI3,control,0,1x,3,56,1.4261
2,KEI3,control,0,1x,4,0,0
2,KEI2,control,0,1x,1,17,1.764
2,KEI2,control,0,1x,2,49,0.9534
2,KEI2,control,0,1x,3,10,1.2716
2,KEI2,control,0,1x,4,13,2.5416
2,BRO,control,0,1x,1,74,0.9343
2,BRO,control,0,1x,2,60,1.2772
2,BRO,control,0,1x,3,65,1.2567
2,BRO,control,0,1x,4,3,1.8105
1,KEI3,control,0,3x,1,6,1.5338
1,KEI3,control,0,3x,2,86,1.8958
1,KEI3,control,0,3x,3,82,2.2622
1,KEI3,control,0,3x,4,15,1.5914
1,KEI2,control,0,3x,1,4,0.7991
1,KEI2,control,0,3x,2,74,1.8536
1,KEI2,control,0,3x,3,86,1.7047
1,KEI2,control,0,3x,4,0,0
1,BRO,control,0,3x,1,42,1.7802
1,BRO,control,0,3x,2,12,1.1456
1,BRO,control,0,3x,3,59,2.2017
1,BRO,control,0,3x,4,7,1.3798
2,KEI3,control,0,3x,1,70,1.3157
2,KEI3,control,0,3x,2,65,1.2562
2,KEI3,control,0,3x,3,56,1.4261
2,KEI3,control,0,3x,4,0,0
2,KEI2,control,0,3x,1,17,1.764
2,KEI2,control,0,3x,2,49,0.9534
2,KEI2,control,0,3x,3,10,1.2716
2,KEI2,control,0,3x,4,13,2.5416
2,BRO,control,0,3x,1,74,0.9343
2,BRO,control,0,3x,2,60,1.2772
2,BRO,control,0,3x,3,65,1.2567
2,BRO,control,0,3x,4,3,1.8105
