run,pop,herb,order,rate,rep,ve,biomass
2,AT8-R,glyphosate,2,3x,8,,
2,AT8-S,control,0,1x,1,10,1.7763
2,AT8-S,control,0,1x,2,10,0.6233
2,AT8-S,control,0,1x,3,10,0.0373
2,AT8-S,control,0,1x,4,,
2,AT8-S,glyphosate,2,1x,1,1,0
2,AT8-S,glyphosate,2,1x,2,6,0.2722
2,AT8-S,glyphosate,2,1x,3,6,0.4677
2,AT8-S,glyphosate,2,1x,4,,
2,AT8-S,glyphosate,2,1x,5,,
2,AT8-S,glyphosate,2,1x,6,,
2,AT8-S,glyphosate,2,1x,7,,
2,AT8-S,glyphosate,2,1x,8,,
2,AT8-S,glyphosate,2,3x,1,,
2,AT8-S,glyphosate,2,3x,2,,
2,AT8-S,glyphosate,2,3x,3,,
2,AT8-S,glyphosate,2,3x,4,,
2,AT8-S,glyphosate,2,3x,5,,
2,AT8-S,glyphosate,2,3x,6,,
2,AT8-S,glyphosate,2,3x,7,,
2,AT8-S,glyphosate,2,3x,8,,
2,AT10,control,0,1x,1,10,1.1015
2,AT10,control,0,1x,2,10,0.465
2,AT10,control,0,1x,3,10,0.8525
2,AT10,control,0,1x,4,10,0.1945
2,AT10,glyphosate,2,1x,1,1,0
2,AT10,glyphosate,2,1x,2,8,0.5075
2,AT10,glyphosate,2,1x,3,7,0.4595
2,AT10,glyphosate,2,1x,4,7,0.2543
2,AT10,glyphosate,2,1x,5,6,0.2315
2,AT10,glyphosate,2,1x,6,4,0.2104
2,AT10,glyphosate,2,1x,7,6,0.3851
2,AT10,glyphosate,2,1x,8,8,0.4907
2,AT10,glyphosate,2,3x,1,1,0
2,AT10,glyphosate,2,3x,2,6,0.1724
2,AT10,glyphosate,2,3x,3,3,0.1197
2,AT10,glyphosate,2,3x,4,5,0.2413
2,AT10,glyphosate,2,3x,5,3,0.0942
2,AT10,glyphosate,2,3x,6,4,0.17
2,AT10,glyphosate,2,3x,7,1,0
2,AT10,glyphosate,2,3x,8,5,0.2217
2,ATBP-S,control,0,1x,1,10,0.8894
2,ATBP-S,control,0,1x,2,10,0.1453
2,ATBP-S,control,0,1x,3,10,1.0915
2,ATBP-S,control,0,1x,4,10,1.3896
2,ATBP-S,glyphosate,2,1x,1,5,0.3712
2,ATBP-S,glyphosate,2,1x,2,7,0.3082
2,ATBP-S,glyphosate,2,1x,3,7,0.5747
2,ATBP-S,glyphosate,2,1x,4,3,0.1329
2,ATBP-S,glyphosate,2,1x,5,6,0.3132
2,ATBP-S,glyphosate,2,1x,6,5,0.1974
2,ATBP-S,glyphosate,2,1x,7,2,0.1375
2,ATBP-S,glyphosate,2,1x,8,1,0
2,ATBP-S,glyphosate,2,3x,1,2,0.1012
2,ATBP-S,glyphosate,2,3x,2,2,0.1161
2,ATBP-S,glyphosate,2,3x,3,1,0
2,ATBP-S,glyphosate,2,3x,4,1,0
2,ATBP-S,glyphosate,2,3x,5,1,0
2,ATBP-S,glyphosate,2,3x,6,4,0.3542
2,ATBP-S,glyphosate,2,3x,7,1,0
2,ATBP-S,glyphosate,2,3x,8,1,0
1,AT1-R,control,0,3x,1,10,0.8726
1,AT1-R,control,0,3x,2,10,2.8025
1,AT1-R,control,0,3x,3,10,2.286
1,AT1-R,control,0,3x,4,10,2.1387
1,AT2-R,control,0,3x,1,10,1.9956
1,AT2-R,control,0,3x,2,10,1.4818
1,AT2-R,control,0,3x,3,10,2.7702
1,AT2-R,control,0,3x,4,10,1.4936
1,AT4-R,control,0,3x,1,10,1.9225
1,AT4-R,control,0,3x,2,10,1.4006
1,AT4-R,control,0,3x,3,10,1.2571
1,AT4-R,control,0,3x,4,10,2.0728
1,AT5-R,control,0,3x,1,10,1.8903
1,AT5-R,control,0,3x,2,10,1.8451
1,AT5-R,control,0,3x,3,10,1.6645
1,AT5-R,control,0,3x,4,10,2.4458
1,AT6-R,control,0,3x,1,10,1.1087
1,AT6-R,control,0,3x,2,10,1.5768
1,AT6-R,control,0,3x,3,10,1.1844
1,AT6-R,control,0,3x,4,10,2.4556
1,AT8-R,control,0,3x,1,10,1.4055
1,AT8-R,control,0,3x,2,10,0.9155
1,AT8-R,control,0,3x,3,10,0.577
1,AT8-R,control,0,3x,4,10,1.2222
1,AT8-S,control,0,3x,1,10,1.4952
1,AT8-S,control,0,3x,2,10,1.8628
1,AT8-S,control,0,3x,3,10,1.7338
1,AT8-S,control,0,3x,4,10,2.0456
1,AT10,control,0,3x,1,10,1.5
1,AT10,control,0,3x,2,10,1.2321
1,AT10,control,0,3x,3,10,2.3382
1,AT10,control,0,3x,4,10,0.9944
1,ATBP-S,control,0,3x,1,10,2.0074
1,ATBP-S,control,0,3x,2,10,1.8241
1,ATBP-S,control,0,3x,3,10,2.834
1,ATBP-S,control,0,3x,4,10,1.6885
2,AT1-R,control,0,3x,1,10,0.6542
2,AT1-R,control,0,3x,2,10,1.5605
2,AT1-R,control,0,3x,3,10,0.9453
2,AT1-R,control,0,3x,4,,
2,AT2-R,control,0,3x,1,10,1.6561
2,AT2-R,control,0,3x,2,10,2.0092
2,AT2-R,control,0,3x,3,10,1.4593
2,AT2-R,control,0,3x,4,,
2,AT4-R,control,0,3x,1,10,1.8728
2,AT4-R,control,0,3x,2,10,2.2148
2,AT4-R,control,0,3x,3,10,1.8955
2,AT4-R,control,0,3x,4,10,1.928
2,AT5-R,control,0,3x,1,10,1.135
2,AT5-R,control,0,3x,2,10,1.8728
2,AT5-R,control,0,3x,3,10,2.1166
2,AT5-R,control,0,3x,4,10,1.6737
2,AT6-R,control,0,3x,1,10,0.808
2,AT6-R,control,0,3x,2,10,0.8904
2,AT6-R,control,0,3x,3,10,1.5159
2,AT6-R,control,0,3x,4,,
2,AT8-R,control,0,3x,1,10,1.071
2,AT8-R,control,0,3x,2,10,0.4473
2,AT8-R,control,0,3x,3,10,0.3844
2,AT8-R,control,0,3x,4,,
2,AT8-S,control,0,3x,1,10,1.7763
2,AT8-S,control,0,3x,2,10,0.6233
2,AT8-S,control,0,3x,3,10,0.0373
2,AT8-S,control,0,3x,4,,
2,AT10,control,0,3x,1,10,1.1015
2,AT10,control,0,3x,2,10,0.465
2,AT10,control,0,3x,3,10,0.8525
2,AT10,control,0,3x,4,10,0.1945
2,ATBP-S,control,0,3x,1,10,0.8894
2,ATBP-S,control,0,3x,2,10,0.1453
2,ATBP-S,control,0,3x,3,10,1.0915
2,ATBP-S,control,0,3x,4,10,1.3896
1,AT1-R,control,0,1x,1,10,2.373
1,AT1-R,control,0,1x,2,10,1.93
1,AT1-R,control,0,1x,3,10,2.494
1,AT1-R,control,0,1x,4,,
1,AT1-R,cloransulam,1,1x,1,8,1.323
1,AT1-R,cloransulam,1,1x,2,1,0
1,AT1-R,cloransulam,1,1x,3,7,0.633
1,AT1-R,cloransulam,1,1x,4,,
1,AT1-R,cloransulam,1,1x,5,,
1,AT1-R,cloransulam,1,1x,6,,
1,AT1-R,cloransulam,1,1x,7,,
1,AT1-R,cloransulam,1,1x,8,,
1,AT1-R,cloransulam,1,3x,1,,
1,AT1-R,cloransulam,1,3x,2,,
1,AT1-R,cloransulam,1,3x,3,,
1,AT1-R,cloransulam,1,3x,4,,
1,AT1-R,cloransulam,1,3x,5,,
1,AT1-R,cloransulam,1,3x,6,,
1,AT1-R,cloransulam,1,3x,7,,
1,AT1-R,cloransulam,1,3x,8,,
1,AT2-R,control,0,1x,1,10,2.021
1,AT2-R,control,0,1x,2,10,1.534
1,AT2-R,control,0,1x,3,10,1.205
1,AT2-R,control,0,1x,4,,
1,AT2-R,cloransulam,1,1x,1,1,0
1,AT2-R,cloransulam,1,1x,2,1,0
1,AT2-R,cloransulam,1,1x,3,4,0.393
1,AT2-R,cloransulam,1,1x,4,1,0
1,AT2-R,cloransulam,1,1x,5,1,0
1,AT2-R,cloransulam,1,1x,6,1,0
1,AT2-R,cloransulam,1,1x,7,,
1,AT2-R,cloransulam,1,1x,8,,
1,AT2-R,cloransulam,1,3x,1,1,0
1,AT2-R,cloransulam,1,3x,2,1,0
1,AT2-R,cloransulam,1,3x,3,2,0.074
1,AT2-R,cloransulam,1,3x,4,1,0
1,AT2-R,cloransulam,1,3x,5,1,0
