run,pop,Herbicide,Rate,rep,count,biomass,count_red,bio_red
1,A34,Atrazine,3x,4,0,0,0.99,1
1,A34,Metribuzin,3x,1,0,0,0.99,1
1,A34,Metribuzin,3x,2,0,0,0.99,1
1,A34,Metribuzin,3x,3,0,0,0.99,1
1,A34,Metribuzin,3x,4,0,0,0.99,1
1,A35,Atrazine,0.5x,1,7,0.386,0.73,0.708514253
1,A35,Atrazine,0.5x,2,2,0.004,0.92,0.996979422
1,A35,Atrazine,0.5x,3,2,0.293,0.92,0.778742685
1,A35,Atrazine,0.5x,4,2,0.068,0.92,0.948650179
1,A35,Metribuzin,0.5x,1,0,0,0.99,1
1,A35,Metribuzin,0.5x,2,0,0,0.99,1
1,A35,Metribuzin,0.5x,3,0,0,0.99,1
1,A35,Metribuzin,0.5x,4,0,0,0.99,1
1,A35,Atrazine,1x,1,1,0.042,0.96,0.968283934
1,A35,Atrazine,1x,2,1,0.073,0.96,0.944874457
1,A35,Atrazine,1x,3,4,0.231,0.85,0.825561639
1,A35,Atrazine,1x,4,0,0,0.99,1
1,A35,Metribuzin,1x,1,0,0,0.99,1
1,A35,Metribuzin,1x,2,0,0,0.99,1
1,A35,Metribuzin,1x,3,0,0,0.99,1
1,A35,Metribuzin,1x,4,0,0,0.99,1
1,A35,Atrazine,3x,1,0,0,0.99,1
1,A35,Atrazine,3x,2,0,0,0.99,1
1,A35,Atrazine,3x,3,0,0,0.99,1
1,A35,Atrazine,3x,4,0,0,0.99,1
1,A35,Metribuzin,3x,1,0,0,0.99,1
1,A35,Metribuzin,3x,2,0,0,0.99,1
1,A35,Metribuzin,3x,3,0,0,0.99,1
1,A35,Metribuzin,3x,4,0,0,0.99,1
1,A36,Atrazine,0.5x,1,9,0.632,0.61,0.538686131
1,A36,Atrazine,0.5x,2,0,0,0.99,1
1,A36,Atrazine,0.5x,3,0,0,0.99,1
1,A36,Atrazine,0.5x,4,0,0,0.99,1
1,A36,Metribuzin,0.5x,1,1,0.003,0.96,0.997810219
1,A36,Metribuzin,0.5x,2,0,0,0.99,1
1,A36,Metribuzin,0.5x,3,1,0.071,0.96,0.948175183
1,A36,Metribuzin,0.5x,4,3,0.004,0.87,0.997080292
1,A36,Atrazine,1x,1,7,0.389,0.70,0.716058394
1,A36,Atrazine,1x,2,8,0.502,0.66,0.633576642
1,A36,Atrazine,1x,3,3,0.089,0.87,0.935036496
1,A36,Atrazine,1x,4,5,0.281,0.78,0.794890511
1,A36,Metribuzin,1x,1,0,0,0.99,1
1,A36,Metribuzin,1x,2,0,0,0.99,1
1,A36,Metribuzin,1x,3,0,0,0.99,1
1,A36,Metribuzin,1x,4,0,0,0.99,1
1,A36,Atrazine,3x,1,0,0,0.99,1
1,A36,Atrazine,3x,2,2,0.052,0.91,0.962043796
1,A36,Atrazine,3x,3,0,0,0.99,1
1,A36,Atrazine,3x,4,4,0.03,0.83,0.97810219
1,A36,Metribuzin,3x,1,0,0,0.99,1
1,A36,Metribuzin,3x,2,0,0,0.99,1
1,A36,Metribuzin,3x,3,0,0,0.99,1
1,A36,Metribuzin,3x,4,0,0,0.99,1
1,A37,Atrazine,0.5x,1,1,0.306,0.96,0.656950673
1,A37,Atrazine,0.5x,2,20,0.83,0.16,0.069506727
1,A37,Atrazine,0.5x,3,0,0,0.99,1
1,A37,Atrazine,0.5x,4,0,0,0.99,1
1,A37,Metribuzin,0.5x,1,0,0,0.99,1
1,A37,Metribuzin,0.5x,2,0,0,0.99,1
1,A37,Metribuzin,0.5x,3,4,0.251,0.83,0.718609866
1,A37,Metribuzin,0.5x,4,2,0.008,0.92,0.99103139
1,A37,Atrazine,1x,1,10,0.716,0.58,0.197309417
1,A37,Atrazine,1x,2,11,0.172,0.54,0.807174888
1,A37,Atrazine,1x,3,15,0.347,0.37,0.610986547
1,A37,Atrazine,1x,4,6,0.206,0.75,0.769058296
1,A37,Metribuzin,1x,1,0,0,0.99,1
1,A37,Metribuzin,1x,2,0,0,0.99,1
1,A37,Metribuzin,1x,3,0,0,0.99,1
1,A37,Metribuzin,1x,4,0,0,0.99,1
1,A37,Atrazine,3x,1,12,0.141,0.49,0.841928251
1,A37,Atrazine,3x,2,2,0.004,0.92,0.995515695
1,A37,Atrazine,3x,3,4,0.016,0.83,0.98206278
1,A37,Atrazine,3x,4,2,0.072,0.92,0.919282511
1,A37,Metribuzin,3x,1,0,0,0.99,1
1,A37,Metribuzin,3x,2,0,0,0.99,1
1,A37,Metribuzin,3x,3,0,0,0.99,1
1,A37,Metribuzin,3x,4,0,0,0.99,1
1,A39,Atrazine,0.5x,1,11,0.8,0.66,1.00E-10
1,A39,Atrazine,0.5x,2,6,0.288,0.81,0.484794276
1,A39,Atrazine,0.5x,3,7,0.388,0.78,0.305903399
1,A39,Atrazine,0.5x,4,13,0.481,0.59,0.139534884
