run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A75,atrazine,0.5x,1,5,0.065,0.7222222220,0.9418994410
1,A75,atrazine,0.5x,2,8,0.44,0.5555555560,0.6067039110
1,A75,atrazine,0.5x,3,3,0.039,0.8333333330,0.9651396650
1,A75,atrazine,0.5x,4,14,0.451,0.2222222220,0.5968715080
1,A75,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A75,metribuzin,0.5x,2,1,0.013,0.9444444440,0.9883798880
1,A75,metribuzin,0.5x,3,2,0.01,0.8888888890,0.9910614530
1,A75,metribuzin,0.5x,4,1,0.005,0.9444444440,0.9955307260
1,A76,atrazine,0.5x,1,17,1.526,0.3703703700,0.0000000001
1,A76,atrazine,0.5x,2,14,0.712,0.4814814820,0.4076539100
1,A76,atrazine,0.5x,3,3,0.051,0.8888888890,0.9575707160
1,A76,atrazine,0.5x,4,5,0.432,0.8148148150,0.6405990020
1,A76,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A76,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A82,atrazine,0.5x,1,0,0,0.9999999999,0.9999999999
1,A82,atrazine,0.5x,2,3,0.798,0.8823529410,0.0000000001
1,A82,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A82,atrazine,0.5x,4,1,0.352,0.9607843140,0.3135056070
1,A82,metribuzin,0.5x,1,1,0.012,0.9607843140,0.9765967820
1,A82,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A82,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A82,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A87,atrazine,0.5x,1,2,0.237,0.9470198680,0.8836381490
1,A87,atrazine,0.5x,2,3,1.123,0.9205298010,0.4486313980
1,A87,atrazine,0.5x,3,1,0.31,0.9735099340,0.8477967350
1,A87,atrazine,0.5x,4,2,0.033,0.9470198680,0.9837977170
1,A87,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A87,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A90,atrazine,0.5x,1,6,0.046,0.8823529410,0.9766171050
1,A90,atrazine,0.5x,2,7,0.315,0.8627450980,0.8398780020
1,A90,atrazine,0.5x,3,8,0.122,0.8431372550,0.9379844960
1,A90,atrazine,0.5x,4,8,0.284,0.8431372550,0.8556360400
1,A90,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A90,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A91,atrazine,0.5x,1,2,0.65,0.9157894740,0.5482974290
1,A91,atrazine,0.5x,2,3,1.014,0.8736842110,0.2953439890
1,A91,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A91,atrazine,0.5x,4,22,1.583,0.0736842110,0.0000000001
1,A91,metribuzin,0.5x,1,1,0.0011,0.9578947370,0.9992355800
1,A91,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A91,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
