run,pop,herb,rate,rep,count,biomass,count_red,bio_red
2,A17,atrazine,1x,2,9,0.814,0.5714285710,0.5289351850
2,A17,atrazine,1x,3,32,1.935,0.0000000001,0.0000000001
2,A17,atrazine,1x,4,42,2.139,0.0000000001,0.0000000001
2,A17,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A18,atrazine,1x,1,3,0.356,0.8899082570,0.6976003400
2,A18,atrazine,1x,2,5,0.438,0.8165137620,0.6279464860
2,A18,atrazine,1x,3,9,1.393,0.6697247710,0.0000000001
2,A18,atrazine,1x,4,2,0.128,0.9266055050,0.8912720320
2,A18,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A20,atrazine,1x,1,10,1.442,0.5402298850,0.1248672430
2,A20,atrazine,1x,2,6,1.139,0.7241379310,0.3087543620
2,A20,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A20,atrazine,1x,4,3,0.374,0.8620689660,0.7730238200
2,A20,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A20,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A22,atrazine,1x,1,6,0.695,0.8235294120,0.6479229990
2,A22,atrazine,1x,2,5,0.332,0.8529411770,0.8318135770
2,A22,atrazine,1x,3,7,0.933,0.7941176470,0.5273556230
2,A22,atrazine,1x,4,4,1.124,0.8823529410,0.4305977710
2,A22,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A22,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A23,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A23,atrazine,1x,2,2,0.133,0.7333333330,0.7850505050
2,A23,atrazine,1x,3,1,0.014,0.8666666670,0.9773737370
2,A23,atrazine,1x,4,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A23,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A27,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A27,atrazine,1x,2,1,0.032,0.6666666670,0.9558011050
2,A27,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A27,atrazine,1x,4,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A27,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A31,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A31,atrazine,1x,2,3,0.062,0.7692307690,0.9398787880
2,A31,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A31,atrazine,1x,4,2,0.205,0.8461538460,0.8012121210
2,A31,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A31,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A34,atrazine,1x,1,3,0.765,0.8285714290,0.4980314960
2,A34,atrazine,1x,2,4,0.169,0.7714285710,0.8891076120
2,A34,atrazine,1x,3,2,0.004,0.8857142860,0.9973753280
2,A34,atrazine,1x,4,3,0.007,0.8285714290,0.9954068240
2,A34,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A34,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A34,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A34,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A35,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A35,atrazine,1x,2,1,0.019,0.9607843140,0.9896457770
2,A35,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A35,atrazine,1x,4,1,0.118,0.9607843140,0.9356948230
2,A35,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A35,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A36,atrazine,1x,1,10,0.949,0.4736842110,0.3680705840
2,A36,atrazine,1x,2,7,0.256,0.6315789470,0.8295322120
2,A36,atrazine,1x,3,7,0.187,0.6315789470,0.8754786080
2,A36,atrazine,1x,4,1,0.111,0.9473684210,0.9260862330
2,A36,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A36,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A37,atrazine,1x,1,0,0,0.9999999999,0.9999999999
2,A37,atrazine,1x,2,5,0.111,0.8387096770,0.9271494200
2,A37,atrazine,1x,3,9,1.298,0.7096774190,0.1481076350
2,A37,atrazine,1x,4,,,,
2,A37,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A37,metribuzin,1x,4,,,,
2,A39,atrazine,1x,1,1,0.088,0.9781420770,0.9578342120
2,A39,atrazine,1x,2,0,0,0.9999999999,0.9999999999
2,A39,atrazine,1x,3,1,0.003,0.9781420770,0.9985625300
2,A39,atrazine,1x,4,5,0.145,0.8907103830,0.9305222810
2,A39,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A39,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A41,atrazine,1x,1,8,0.151,0.7908496730,0.9246506990
2,A41,atrazine,1x,2,3,0.116,0.9215686280,0.9421157690
2,A41,atrazine,1x,3,5,0.271,0.8692810460,0.8647704590
2,A41,atrazine,1x,4,3,0.238,0.9215686280,0.8812375250
2,A41,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A41,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A44,atrazine,1x,1,2,0.61,0.9440559440,0.6681175190
2,A44,atrazine,1x,2,0,0,0.9999999999,0.9999999999
2,A44,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A44,atrazine,1x,4,6,0.487,0.8321678320,0.7350380850
2,A44,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A44,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A45,atrazine,1x,1,12,0.663,0.6595744680,0.6876692970
2,A45,atrazine,1x,2,3,0.112,0.9148936170,0.9472382520
2,A45,atrazine,1x,3,7,0.354,0.8014184400,0.8332351900
2,A45,atrazine,1x,4,1,0.038,0.9716312060,0.9820986930
2,A45,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A45,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A47,atrazine,1x,1,1,0.292,0.9000000000,0.6799123050
2,A47,atrazine,1x,2,0,0,0.9999999999,0.9999999999
2,A47,atrazine,1x,3,0,0,0.9999999999,0.9999999999
2,A47,atrazine,1x,4,0,0,0.9999999999,0.9999999999
2,A47,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A47,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A47,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A47,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A65,atrazine,1x,1,9,0.533,0.0000000001,0.0188679250
2,A65,atrazine,1x,2,0,0,0.9999999999,0.9999999999
2,A65,atrazine,1x,3,7,0.515,0.0000000001,0.0520018410
2,A65,atrazine,1x,4,1,0.637,0.6000000000,0.0000000001
2,A65,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A65,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A65,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A65,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A66,atrazine,1x,1,3,0.301,0.8400000000,0.8297270540
2,A66,atrazine,1x,2,0,0,0.9999999999,0.9999999999
2,A66,atrazine,1x,3,1,0.076,0.9466666670,0.9570074950
2,A66,atrazine,1x,4,2,0.551,0.8933333330,0.6883043420
2,A66,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
2,A66,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
2,A66,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
2,A66,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
2,A67,atrazine,1x,1,1,0.221,0.9682539680,0.8562601630
2,A67,atrazine,1x,2,2,0.579,0.9365079370,0.6234146340
2,A67,atrazine,1x,3,2,0.313,0.9365079370,0.7964227640
2,A67,atrazine,1x,4,0,0,0.9999999999,0.9999999999
2,A67,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
